bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Razvan Chipara,The Cambridge Public House (Paris),Big in Japan,30ml of Citadelle Gin infused with Shitake,20ml of White Dolin Vermouth,20ml of Fino Sherry,10ml of Aquavit,NA,NA,NA,NA,NA
René Hedeland Larsen,Ruby (Copenhagen),Green Bees,60ml of Pisco,20ml of Lime Juice,20ml of Thyme Honey Syrup,2 leaves of Sorrel,NA,NA,NA,NA,NA
René Hedeland Larsen,Ruby (Copenhagen),Emerald Martini,15ml of Mancino Vermouth,10ml of Taffel Akavit,50ml of Dild Aquavit,Dashes of Parsley Oil,Top with Parsley Snow,NA,NA,NA,NA
Remy Savage,Little Red Door (Paris),Corpse Reviver n°1,20ml of Calvados,20ml of Cognac,45ml of home sweet vermouth,1 dash of salt,NA,NA,NA,NA,NA
Remy Savage,Little Red Door (Paris),Sainte Marie de la mer,30ml of gin,15ml of mertensia maritima,1.25 ml of clay syrup,1 dash salt,NA,NA,NA,NA,NA
Riccardo Marinelli,Jerry Thomas (Rome),Manhattan,45ml of Rye Whisky Single Barrel,45ml of Red Vermouth del Professor,2 dashes Angostura bitters,2 dashes Orange bitters,4 dashes Maraschino Liqueur,NA,NA,NA,NA
Riccardo Marinelli,Jerry Thomas (Rome),Negroni del Professor,45ml of Gin del Professor,25ml of Bitter del Professor,35ml of Red Vermouth del Professor,2 dashes of Bergamot Bitters,NA,NA,NA,NA,NA
Rhys Wilson,Happiness Forgets (London),Penicillin,45ml of blended scotch black bottle,10ml of peaty scotch Laphroaig ten years old,20ml of lemon juice,15ml of honey syrup,15ml of ginger juice,NA,NA,NA,NA
Rhys Wilson,Happiness Forgets (London),Jerezana,25ml of Manzanilla sherry,25ml of Amontillado sherry,12.5 ml of sweet vermouth,12.5 ml of dolin dry,10ml of vanilla syrup,6 dashes of orange bitters,NA,NA,NA
Riccardo Rossi,Frenie e Frizioni (Rome),Brooklyn,60ml of Bulleit Rye Whiskey,30ml of Noilly Prat Dry Vermouth,7.5ml of Picon Amer,7.5ml of Maraschino Liqueur,NA,NA,NA,NA,NA
Riccardo Rossi,Frenie e Frizioni (Rome),Martin Mystère,60ml of La Caravedo Pisco,30ml of Lime Juice,20ml of Camomille Syrup,15ml of Egg White,Float of Chicha Morada,NA,NA,NA,NA
Roberta Mariani,Bar Termini (London),Boulevardier,35ml of Bourbon,15ml  of Campari,15ml  of Martini rosso,Orange twist,NA,NA,NA,NA,NA
Roberta Mariani,Bar Termini (London),drie van drie,50ml of seaweed whisky,2.5ml of gomme syrup,3 dashes of homemade liquorice bitter,15ml of dry sherry,NA,NA,NA,NA,NA
Roberto Artusio,La Punta (Rome),Maria Sabina,45ml Vermouth infused with Barbecued Chestnut,1 Barspoon Agave Syrup,1 dash Chocolate Bitters,1 dash of Nut Bitters,NA,NA,NA,NA,NA
Roberto Artusio,La Punta (Rome),L’Imbriagon,15ml Burnt Wine Syrup,60ml of Mezcal,20ml of Water,1 dash Pimento Bitters,NA,NA,NA,NA,NA
Romain Briset,Gravity (Paris),Sazerac,Glass rinsed with Absinthe,1 barspoon of Sugar,3 dashes of Peychaud,60ml of Rye Rittenhouse 100 Proof,1 Lemon Twist,NA,NA,NA,NA
Romain Briset,Gravity (Paris),Fruit du Passé,10 ml of Egg White,20ml of Celery Syrup,25ml of Lemon Juice,25ml of Strega Liqueur,25ml of Dolin Genepi,Top with Soda,NA,NA,NA
Roman Shabodalov,Hawksmoor Spitalfields (London),Roman’s Gimlet,70ml of Navy Strength Plymouth Gin,15ml of Lime Cordial,NA,NA,NA,NA,NA,NA,NA
Roman Shabodalov,Hawksmoor Spitalfields (London),Taxcoco,40ml of Tequila Tapatio 110,15ml of Manzanilla Sherry,25ml of Lime Juice,15ml of Grapefruit Sherbet,5ml of Salt Solution,2 dashes of Absinthe,NA,NA,NA
Rory Shepherd,Little Red Door (Paris),Trident,25ml of Aquavit,25ml of Cynar,25ml of Amontillado Sherry,1 dash of Peach Bitters,NA,NA,NA,NA,NA
Rory Shepherd,Little Red Door (Paris),Strength,30ml of Gin,20ml of Sorrel Wine,5ml of Whisky Pine Tincture,30ml of Birch Water,NA,NA,NA,NA,NA
Rusty Cerven,The Gibson (London),Gibson Martini,60ml of Tanqueray Gin,5ml of Mancino Vermouth,1 Pickled Onion,NA,NA,NA,NA,NA,NA
Rusty Cerven,The Gibson (London),Electric Earl,45ml of Tanqueray Gin 10,10ml of Earl Grey Liqueur,2 dashes of Electric Bitters,1/4 Fresh Grapefruit,1 Lime,35ml of Tonic and Citrus Grass Cordial,NA,NA,NA
Sacha Molodskikh,Le Parfum (Montpellier),Ti Punch,4 Cloves,1/2 Lime,30ml of 3 Rivières Sugar,50ml of Clairin Casimir Rum,10ml of Creole Shrub,NA,NA,NA,NA
Sacha Molodskikh,Le Parfum (Montpellier),Butter Braise,A Pat of Clarified Barrate Butter,30ml of Pyrat Rum,20ml of Pedro Ximenez,10ml of Maple Syrup,10ml of 3 Rivières Syrup,20ml of Lemon Juice,10ml of Gingerbread Syrup,NA,NA
Samet Ali,Oriole (London),Espresso Martini,22.5 ml of Vodka,22.5ml of Rye Whiskey,30ml of Menengic Coffee,30ml of Homemade Coffee Liqueur,10ml of Maple syrup,NA,NA,NA,NA
Samet Ali,Oriole (London),Bon echo,30ml of Cognac,15ml of Rye Whiskey,30ml of Ontario Leaf Aperitif,7.5ml of Homemade Juneberry Vermouth,3 dashes of Northern White Cedar Bitters,NA,NA,NA,NA
Samuel Kwok,Quinary (Hong Kong),Boulevardier,45ml of Michter’s Whiskey,15ml of Cynar,20ml of Punt e Mes,7.5ml of Campari,5 dashes of Fernet Branca,NA,NA,NA,NA
Samuel Kwok,Quinary (Hong Kong),Lavender Meringue Pie,45ml of Limoncello,20ml of Gin infused with Lavender,10ml of Simple Syrup,10ml of Egg White,30ml of Lemon Juice,NA,NA,NA,NA
Samuel Wiktorsson,Pharmarium (Stockholm),Dempsey,40ml of gin,20ml of Calvados,8ml of grenadine,Spray of absinthe,NA,NA,NA,NA,NA
Samuel Wiktorsson,Pharmarium (Stockholm),Imaginarium,35ml of vodka,10ml Ciociaro amaro,20ml fresh lemon juice,1 barspoon of liquorice paste,2 drops of butterscotch essence,2 dashes liquorice bitters,Garnish with à tea spoon of violet pearl,NA,NA
Sarah Moudoulaud Lecoyer ,Divine (Paris),Calvados Martini,45ml of Calvados Christian Drouin,15ml of Fino Sherry,7.5ml of Salers,NA,NA,NA,NA,NA,NA
Sarah Moudoulaud Lecoyer ,Divine (Paris),Divine Boulevardier,35ml of Michter’s Bourbon,15ml of Campari,15ml of St Germain,NA,NA,NA,NA,NA,NA
Sergio Toffoli,Kurobota (Palma de Mallorca),Love in Muskoka,40ml of Alberta Premium Canadian Rye Whiskey,30ml of Conzano Vermouth Rosso,15ml of Campari,1 dash of Maple Syrup,NA,NA,NA,NA,NA
Sergio Toffoli,Kurobota (Palma de Mallorca),Kill Dill,"20ml of Enriched Simple Syrup (Absinthe, Green Chartreuse and Sugar)",20ml of Lemon Juice,45ml of Dill Infused Gin,Top with Tonic,NA,NA,NA,NA,NA
Simon Toohey,Callooh Callay (London),London Calling,40ml of gin,20ml of Fino sherry,25ml of lemon juice,20ml of sugar,2dashes of orange bitters,NA,NA,NA,NA
Simon Toohey,Callooh Callay (London),Bread Winner,40ml of dark rum,25ml of bread milk,20ml of cinamon syrup,5ml of lime juice,2 dashes of walnut bitters,NA,NA,NA,NA
Simon Kong,Lobster Bar in Shangri-La (Hong Kong),Vieux Carré,30ml of Cognac Martell VSOP,30ml of Michters Rye Whiskey,10ml of Benedictine,20ml of Cocchi Torino Vermouth,2 dashes of Angostura Bitters,2 dashes of Peychaud Bitters,NA,NA,NA
Simon Kong,Lobster Bar in Shangri-La (Hong Kong),Grape William,30ml of Poire William Massenez,15ml of Pisco Tacoma,30ml of Apple Liqueur infused with Jasmine Tea,2.5ml of Sambuca,30ml of Lemon Juice,2 barspoon of Sugar Syrup,6 pieces of Mint,NA,NA
Simone Caporale,Pour (London),Like You None Else,35ml of Gin with Hops,15ml of Italicus Liqueur,25ml of Fresh Lime Juice,10ml of Simple Syrup,NA,NA,NA,NA,NA
Simone Caporale,Pour (London),Nostrano Spritz,15ml of Tequila,30ml of Italicus Liqueur,15ml of Fresh Pomelo Juice,15ml of Fresh Lemon Juice,5ml of Simple Syrup,50ml of Sparkling Wine,The bubble is made with the Flavour Blaster,NA,NA
Simone Onorati,The Gibson (London),Scandal in Bohemia,50ml of Woodford Reserve Rye Whiskey with Sweet Grass infusion,1 barspoon of Preserved Lemon,20ml of Caramelised Barley Candy,4 dashes of Absinthe,2 barspoons of Cannabis Sativa,15ml of Poppy Oil,Half Lemon,NA,NA
Simone Onorati,The Gibson (London),Gibson’s Bloody Mary,300ml of Tomato and Vegetable Juice (depending of the size of the glass),A Mix of 80-90 Different Spices,NA,NA,NA,NA,NA,NA,NA
Sim Sze Wei,Atlas (Singapore),Golden Eight,20ml of Bacardi Ocho Anos Gran Reserve Rum,20ml of Bacardi Carto Oro Superior Gold Rum,20ml of Benedictine D.O.M.,20ml of Lemon Juice,NA,NA,NA,NA,NA
Sim Sze Wei,Atlas (Singapore),Atlas Martini,60ml of Fords Gin,15ml of Mancino Bianco Ambrato,5 dashes of Champagne Vinegar,2 Dashes of Orange Bitters,NA,NA,NA,NA,NA
Sophia Urwin,Peony at Opium Chinatown (London),Floral Roasting (twist on an Amaretto Sour),10ml of mezcal Vida del Maguey,15ml of Suze,30ml of Almodine,20ml of Lemon Juice,20ml of Rose and Unroasted Coffee Bean Syrup,1 dash of Peychaud Bitters,Egg White,NA,NA
Sophia Urwin,Peony at Opium Chinatown (London),Foam Party,30ml of Rabarbaro Nardini,30ml of Rye Whiskey,15ml of Fig Cream Liqueur,Top with Foam of Beavertown Smoked Porter,NA,NA,NA,NA,NA
Sother Teague,NA,Waterproof Watch,45 ml of Gin,22.5ml of Aperol,22.5ml of Amaro Monte Negro,2 dashes of Dole Decroffs Pimento Bitters,NA,NA,NA,NA,NA
Sother Teague,NA,Campfire,22.5ml of Elija Craig Bourbon,22.5ml of Rittenhouse 100 Proof Rye Whiskey,15ml of  Laphroaig Ten Whisky,6 drops of Hellfire Bittermens,1 dash of Boker’s Bitters,1 Barspoon of cane syrup,NA,NA,NA
Stanislas Jouenne,Tiger (Paris),French Flair (twist on Corps reviver no2),40ml of Gin,20ml of Triple Sec,30ml of Bonal,2 dashes of Saline Solution,2 dashes of Bitter Truth Aromatic Leaf Bitters,2 dashes of Absinthe,2 dashes of Orange Bitters,NA,NA
Stanislas Jouenne,Tiger (Paris),Overload Tiki,25ml of Triple Sec,20ml of Velvet Falernum,30ml of Lime Juice,50ml of Gin,Top with Calvados,NA,NA,NA,NA
StefanosDraganidakis,NA,Martini,50ml of Gin,"50ml of Trap vermouth (A blend of Bianco and Manzanilla Vermouth, Pear Eau de Vie and Greek Botanicals)",NA,NA,NA,NA,NA,NA,NA
StefanosDraganidakis,NA,Whisky and Cola,40ml of Bourbon,15ml of Campari,40ml of Cola Vermouth (Angostura Bitters with Lime Oils and Averna),NA,NA,NA,NA,NA,NA
T,NA,Martini,50ml of Gin,"50ml of Trap vermouth (A blend of Bianco and Manzanilla Vermouth, Pear Eau de Vie and Greek Botanicals)",NA,NA,NA,NA,NA,NA,NA
T,NA,Whisky and Cola,40ml of Bourbon,15ml of Campari,40ml of Cola Vermouth (Angostura Bitters with Lime Oils and Averna),NA,NA,NA,NA,NA,NA
Stephen Byrne,Uncle Ming’s (Sydney),Jungle bird,45ml of rum,20ml of Campari,20ml of lime,10ml of sugar syrup,45ml of pineapple juice,NA,NA,NA,NA
Stephen Byrne,Uncle Ming’s (Sydney),Misty mountain ,45ml of Ron Zacapa,10ml of fortifed wine,10ml of vermouth,5 dashes of coffee bitters,Garnish chocolate sherry,NA,NA,NA,NA
Steve Crozier,Baxter Inn (Sydney),Red hook,60ml of Rittenhouse Rye Whiskey,15ml of Punte Mes,15ml of Luxardo,NA,NA,NA,NA,NA,NA
Steve Crozier,Baxter Inn (Sydney),Morning glory murder,60ml of blended whisky infused with violet and peaches,30ml of lemon juice,15ml of honey water,1 Egg white,A spice almond milk ice ball,NA,NA,NA,NA
Steve Schneider,Employees Only (New York),Manhattan,50ml of Cocchi Torino,45ml of Rye Whisky Rittenhouse 100 Proof,15 ml of Grand Marnier,3 dashes Angustura Bitters,NA,NA,NA,NA,NA
Steve Schneider,Employees Only (New York),Ready Fire Aim,30ml of homemade honey syrup,22 ml of homemade pineapple juice,15ml of fresh lime juice,50ml of Mezcal,3 dashes of Hellfire Bitters,NA,NA,NA,NA
Suraj Gurung,Stockton (Hong Kong),Stockton Old Fashioned,45ml of Buffalo Trace Bourbon,15ml of Michter’s Rye Whiskey,15ml H by Hin Cognac,10ml of Demerara syrup,3 dashes of Angostura Bitters,2 dashes of Orange Bitters,NA,NA,NA
Suraj Gurung,Stockton (Hong Kong),Big Dick,45ml of House Blend Rum,15ml of Irish Whisky,7ml of Pedro Ximenez,22ml of Malted Banana,22ml of Lime Juice,7ml of Cane Syrup,3 dashes of Mace,2 dashes of Chocolate Bitters,NA
Sullivan Doh,Le Syndicat (Paris),Smoking car (twist on a side car),30ml of cognac,30ml of dry Curaçao Pierre ferrand,20ml of lemon juice,10ml orange blossom,Smoke of bitter orange peel,NA,NA,NA,NA
Sullivan Doh,Le Syndicat (Paris),Le Sudiste,40ml of eau de vie of citrus (cédrat) from Domaine Mavela in Corsica,20ml of orange and rosemary syrup,20ml of lemon juice,Foam of mauresque (orgeat and aniseed),NA,NA,NA,NA,NA
Takuma Watanabe,Angel’s Share (New York),Peel Me a Grape,40ml of Sipsmith Gin,10ml of St Germain,40ml of Manzanilla Sherry,2 Barspoons of Grape Syrup,1 pinch of salt,NA,NA,NA,NA
Takuma Watanabe,Angel’s Share (New York),New York New York,50ml of Apple and Cinnamon Rye Whiskey,15ml of Spiced Maple,10ml of Roots,15ml of Lime Juice,20ml of Egg White,Torched sugar,NA,NA,NA
Tan Pham,ATM Cocktail Bar (Ho Chi Minh),Mekong Negroni,30ml of Bitter Melon Infusion,30ml of Gin,30ml of White Vermouth,NA,NA,NA,NA,NA,NA
Tan Pham,ATM Cocktail Bar (Ho Chi Minh),Mekong Delta,60ml of Bourbon infused with Banana,20ml of Lime Juice,20ml of Banana Syrup,2 dashes of Ginger Bitters,20ml of Egg White,NA,NA,NA,NA
Tara Garnell,Original Sin (London),San Sebastian,40ml of Rittenhouse 100 Proof Rye,20ml of Amontillado Sherry,5ml of Maple Syrup,2 dashes of Jerry Thomas Bitters,NA,NA,NA,NA,NA
Tara Garnell,Original Sin (London),The Duke,30ml of Junipero Gin,15ml of Cynar,20ml of Cold Brew Coffee,Top with a Splash of Fever Tree Mediterranean Tonic,NA,NA,NA,NA,NA
Tarek Nini,Le Ballroom (Paris),"
Martinez Old Tom
60 ml of Old Tom Gin
15ml of Dolin vermouth Dry
15ml of Carpano Antica Formula
1 barspoon of Luxardo Marascshino
1 dash of orange bitters",Martinez Old Tom,60 ml of Old Tom Gin,15ml of Dolin vermouth Dry,15ml of Carpano Antica Formula,1 barspoon of Luxardo Marascshino,1 dash of orange bitters,NA,NA,NA
Tarek Nini,Le Ballroom (Paris),Dûra Dûra,50ml of Nuestra Soledad Mezcal infused with grilled mustard seeds,20ml of  Karela (bitter Indian cucumber juice),20ml of Agave Syrup,25ml of Lime,2 dashes of Jamaican Jerks Bitters,NA,NA,NA,NA
Téva Légale,Reverend JW Simpson (London),Amarito Sour (Twist of Amaretto sour),45ml of Amarito,25ml of lime,15ml of blackberry cream,1 egg white,NA,NA,NA,NA,NA
Téva Légale,Reverend JW Simpson (London),Seven smoking islands,35ml of banks  rum 7,45ml of lapsang souchong home made syrup,15ml of lime,15ml of cointreau,NA,NA,NA,NA,NA
Thanos Ioannou,NA,Gibson Martini,60ml of Thomas Dakin Gin,15ml of Sauterne Wine and Onion Brine,Pickled Onions,NA,NA,NA,NA,NA,NA
Thanos Ioannou,NA,No strings attach,60ml of Boompjes Old Dutch Genever,20ml of Fresh Lemon Juice,15ml of Agave syrup infused with Saffron,Rimed with Salted Caramel Coconut,NA,NA,NA,NA,NA
Thibault Mequignon,Danico (Paris),Sazerac,6 dashes of Peychaud Bitters,0.5 ml of Brown Sugar,60ml of Rittenhouse 100 Proof Rye Whiskey,2-3 sprays of Absinthe,NA,NA,NA,NA,NA
Thibault Mequignon,Danico (Paris),Le parsley,25ml of Parsley Syrup,25ml of Lime Juice,50ml of Blend Cachaça Yaguara Ouro and Plantation Barbados with Mature Bananas,NA,NA,NA,NA,NA,NA
Thierry Malikian,Le Calbar (Paris),Mezcal Negroni ,50ml of Mezcal,20ml of Cynar,20ml of Tio Pepe (Fino),A twist of lemon,NA,NA,NA,NA,NA
Thierry Malikian,Le Calbar (Paris),King Cross,30ml of rum Smith and Cross,20ml  of original Dark Plantation,20ml of a liqueur shrub orange,2 dashes of Angustura bitters,NA,NA,NA,NA,NA
Thomas Auger,Nola (London),Old fashioned,50ml of Rye whisky,15ml of tobacco liqueur,2 dashes of Angustura bitters,2 dashes of chocolate mole bitters,Orange garnish,NA,NA,NA,NA
Thomas Auger,Nola (London),Iron lady,20ml of Saint Germain,Barspoon of Laphroaig whisky,25ml of gin,20ml of egg white,25ml of lemon,10ml of sugar,Dash of Grapefruit,NA,NA
Timo Janse,Door 74 (Amsterdam),Be kind unwind (Martinez) ,45ml of bathtub gin,45ml of Punt e Mes,5ml of Topschi Nocello,10ml of Luxardo Maraschino,2 dashes of orange bitters,1 dash of Dale Degroff’s pimento bitters,NA,NA,NA
Timo Janse,Door 74 (Amsterdam),Meet me in the struggle buggy,45ml of gin,3 slices of red Chilli pepper,15ml of passionfruit syrup,25ml of fresh lime juice,Top with ginger ale,NA,NA,NA,NA
Tom Egerton,Eau de vie (Sydney),Pegu club,40ml of Bombay Amber gin,20ml of lime juice,20ml of Orange Curaçao,2 dashes of angostura bitters,NA,NA,NA,NA,NA
Tom Egerton,Eau de vie (Sydney),New money,40ml of expérimental spirit coconut rum,1 barspoon of lactart,20ml of slow gin,20ml of abricot brandy,2 drops of sailin solution,1 dash of angostura bitters,1 eggwhite,NA,NA
Tony Santoro,NA,Gin Old Fashioned,1 sugar piece,3ml of Smith and Cross Rum,45ml of Beefeater Gin,Zest of Lime and Orange,Splash of Soda,3 dashes of Chocolate Bitters,NA,NA,NA
Tony Santoro,NA,Trinity Charme,3ml of Arabic Gum,3ml of Suze Bitter Orange,45ml of Noilly Prat Dry,15ml of Plymouth Sloe Gin,10ml of Vermouth Cocchi di Torino,2 drops of Saline Solution,NA,NA,NA
Vasilis Kyritsis,The Clumsies (Athens),Circle of Life (Vodkatini),45ml of Ciroc Vodka,10 ml of Parmesan Drip,25ml of Sauternes Wine,3 drops of Dry Solution,Pickled Currant,NA,NA,NA,NA
Vasilis Kyritsis,The Clumsies (Athens),Above & Beyond Punch,50ml of Zacapa23 Rum,40ml of Smoked Pineapple Oleo Saccharum,20ml of Dark Stout Beer,NA,NA,NA,NA,NA,NA
Vassilis Chryssos,NA,Raki Sour,50ml of Raki,1 Egg White,20ml of Lemon,1.5 barspoon of Organic Honey Water,NA,NA,NA,NA,NA
Vassilis Chryssos,NA,600 Stairs,40ml of Fresh Squizz Pomegranate,50ml of Gin Mare,20ml of Frago Stafilo (Liqueur of Wild Berries),10ml of Lemon,Splash of Honey Water,NA,NA,NA,NA
Vijay Mudaliar,Native (Singapore),Oolong Highball,50ml of Sochu,10ml of Yuzu Distillate,120ml of Oolong Kombucha,NA,NA,NA,NA,NA,NA
Vijay Mudaliar,Native (Singapore),Peranakan,250ml of Indian Rum,10g of Galangal,1g of Laksa Leaves,10g of Tamarind,1g Dried Pandan,10g of Candlenut,5g of Gula Melaka,NA,NA
Vincenzo Mazzilli,Speakeasy (Bari),Murgia Fizz,45 ml of Hendrick’s gin,15ml of Gariga di Murgia,30ml of lemon juice,15ml of sugar,Top with soda,NA,NA,NA,NA
Vincenzo Mazzilli,Speakeasy (Bari),Tigrotto,30 ml of tequila Ocho,30ml of biancosarti,30ml of white vermouth carlo Alberto,1 Dash of angustura,NA,NA,NA,NA,NA
Vito Pietroburgo,Mag Cafè (Milan),Vermouth cocktail,40ml of Cocchi Classico Vermouth,20ml of Cocchi Amaro Vermouth,3.75ml of Gum syrup,3 dashes of Angostura bitter,1 dash of Aromatic bitter,NA,NA,NA,NA
Will Hawes,Disrepute (London),Tall and Dark,50ml of Peach Cognac,10ml of Peach Cream,25ml of Lemon Juice,Splash of Soda,NA,NA,NA,NA,NA
Will Hawes,Disrepute (London),PGJR,30ml of Plantation Rum Original Dark,15ml of Merlet Cassis,5ml of Campari,10ml of Smith and Cross Rum,2 dashes of Tea Pot Bitters,20ml of Lime Juice,NA,NA,NA
Xavi Prat Lacamara,Stereo 18 (Barcelona),El Vell I La Mar,60ml of Appleton Rum,15ml of Pedro Ximenez,1 barspoon of White Sugar,3 dashes of Coffee Bitters,NA,NA,NA,NA,NA
Xavi Prat Lacamara,Stereo 18 (Barcelona),The Greatest Dancer,50ml of Pisco el Gobernador,10ml of Saint Germain Liqueur,25ml of Pineapple Juice,10ml of Orgeat Syrup,25ml of Lemon,Top with Beer,NA,NA,NA
Zac de Git,Crackerjack (Singapore),Chinese New Year Daiquiri,30ml of Rum Diplomatico,30ml of Mandarin Juice,22.5ml of Lime Juice,15ml of Simple Syrup,NA,NA,NA,NA,NA
Zac de Git,Crackerjack (Singapore),Absinthe Swizzle,20ml of St. George’s Absinthe,20ml of Mancino Secco Vermouth,20ml of Blood Peach Puree,20ml of Sugar Syrup,10ml of lemon Juice,8 Mint Leaves,NA,NA,NA
